Source ID,Item #,Initiative,Discipline,Category,Deliverable,Action,Assigned To,Reviewer,Status,Notes,Priority,Due Date,Source Due,Priority Weight,Progress %,Status Bucket,Last Updated,Week Ending,Due Quarter,Budget Hours,WBS,IO,Work Group,Planned Week
ei-initiative-001,1,Consistency Workshop,E&I Department,Estimating,Estimate Basis,"Develop an Estimate Basis that applies to projects that don’t have a client design criteria. ""how Kieiwt OGC does projects""",Ahmad Yakuba,Allen Douglas,Started,"build before, during Consistancy Workshops  Homer City
This is needed for Mock Procjects as well",High,,,3,25,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-002,2,Estimate Document Numbering,OGC,Document Control,Teambinder Numbering,Apply TeamBinder Document Numbering to Rock County (E&I),Allen Douglas,,HOLD,Need to finish before Department Meeting Friday 4/24 if possible,High,,HOLD,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-003,3,Estimate Document Numbering,OGC,Document Control,Teambinder Numbering,Show Rock County Example to Department Managers,Allen Douglas,,HOLD,Must complete Item 2 - Rock County Numbering,High,,HOLD,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-004,4,Indicative Tool,Instrumentation and Controls,Estimating,Indicative Tool,"Developing high-level quantities for instrumentation, controls and Telecoms for ammonia plants, to add it to the indicative procedure and data source.",John McGoldrick,,Closed Out,"ETA expected by May 1st. Not fisnihed yet due to commitments with Texas LNG estimate changes.
TLNG holding up progress (at 75%)",Critical,2016-05-15,,4,100,Closed,,,Q2,,110803,1511,Instrumentation,
ei-initiative-005,5,Initiatives - Future,Electrical,Procurement,OGC Estimate Checklist,Electrical Checklist / Matrix / DOR for Pricing Responsiblities,Ahmad Yakuba,Allen Douglas,In Review,"Use Item 44 final documentation as a go-by and produce the same for Electrical
Sent to Allen for review",Medium,,,2,90,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-006,6,Mock Project Files,E&I Department,Engineering,Standard Template,Pull Rock County Master P&IDs for use on future Mock Projects,Allen Douglas,,HOLD,"Sabina has stated that PID set is getting scrubbed; ready May 22nd
RGLNG is ready for use (PID and Plot Plan)",Low,,HOLD,1,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-007,7,Initiatives - Future,E&I Department,Procurement,Project SharePoint,Update standard folder structure for project and send to Sonya,Ahmad Yakuba,Allen Douglas,Started,Work together through Homer City and submit to DC for implementation,Medium,,,2,25,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-008,8,Initiatives - Future,E&I Department,Estimating,"Historical / Benchmark Improvement
IO 101023945","Ship-Loose database to be used on class2 and indicative estimates quantities, for mechancial equipment.",Ahmed Sherif,,HOLD,"Starting April 23rd. TO start having contact with Aden and Keshika to finalize the modoule's quantities fillout on Query software.
Push to Quarter 3 start to prioritize Energy procedures",Medium,,Q3,2,0,Blocked,,,Q3,,110803,101023945,Electrical,
ei-initiative-009,9,Consistency Workshop,OGC,Department,OGC Estimate Checklist,Review and provide feedback to management on current checklist,Allen Douglas,,Not Started,,Critical,2025-05-12,,4,0,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-010,10,I&C Adapt Logic,Instrumentation and Controls,Estimating,ADAPT - Logic,Re-do logic test to validate changes/corrections by Adapt Team,Keshika Nath Varma,Rene Contreras,Closed Out,"Run the test in Adapt for updates completed by Adapt team.
Some modifications not done yet by Adapt team.",High,2025-05-18,,3,100,Closed,,,Q2,,110803,1511,Instrumentation,
ei-initiative-011,11,Department Display,E&I Department,Estimating,Presentation,Build out Technline Racks and Install equipment / Raceways,Andy Baruth,,HOLD,Texas LNG,Low,,when hell freezes over,1,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-012,12,White Paper Reports,E&I Department,Estimating,Lessons Learned / White Paper,Manage Procurement Comments,Vendor,,HOLD,Due before next week Wholesale Electric meeting,Critical,,,4,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-013,13,Consistency Workshop,Instrumentation and Controls,Department,Standard Template,Module Materail Quantity Automation Tool,Ahmed Sherif,,50% Complete,Automate and align BOQ document with ADAPT account codes. Conducted meeting with Ibrahim. Updating BOQ to include necessary details,Low,,Q3,1,50,Open,,,Q3,,110803,1511,Instrumentation,
